"","Plasmablast","NaiveB","MemoryB","NaiveCD4T","MemoryCD4T","NaiveCD8T","MemoryCD8T","NKT","NKcells","Dendritic","CMonocytes","NMonocyte"
"HACD4",0.091188276002747,0.240411063470977,0.741208173579487,0.187694795823263,0.352187071097228,0.18582443725348,0.341173734219219,0.394869510795077,0.38989078691182,0.575735675761851,0.815297787480095,0.684850688455079
"ID1",0.00950223418992091,0.0966379162893266,0.656997160740504,0.199674328306889,0.105405239143297,0.240811433435567,0.298743968437019,0.052401677911621,0.192487691555205,0.597748004134415,0.596097531563279,0.250677568138543
"MAP3K8",0.0736037357937116,0.484438553899374,0.536082361269479,0.00868605022399998,0.0817131084269536,0.0224365006217206,0.521264092469014,0.36730713033888,0.515036628339337,0.735389954445537,0.600980674540036,0.723448076911401
"STK17A",0.281122460897684,1.23824959160698,0.172531307181182,1.06483231747295,0.955968500742844,1.04306344183494,1.27354409443777,1.24552296063125,1.3069262151909,0.474318105005349,0.162551666069628,0.151787268829203
"IL1B",0,0.0597787233900593,2.82207393850773,0.0468657983417117,0.0256836906889885,0.0443806315355487,0.0311607317628342,0,0.0302988663820689,0.298205462702197,1.62119197095983,1.28826921871093
"SULF2",0.2666020110878,0.340639200325217,0.738212478546259,0.137020830312115,0.164299145246336,0.127637037562366,0.110526883796868,0.0776075153743239,0.132349951491539,0.733279707213083,0.797047166426295,0.747760422694778
"FCGR2B",0.214052830725886,0.687757397465899,0.838063724273397,0,0.00236233100789659,0,0.0121000785401907,0.052401677911621,0.062600410978119,0.782735753356055,0.0796645494914838,0.0642374571445151
"KIAA0930",0.22935075976543,0.169578068064165,0.704653572235763,0.0674633652521947,0.0729566939932527,0.0658535396397555,0.179995525812738,0.227569733334661,0.215069343199841,0.626363740449788,0.866888547786057,0.874284646093369
"BATF3",0,0.00722111347186383,0.536082361269479,0.00435245601591437,0.00707031682979302,0,0.00727760228530733,0.0133600915191788,0.00307153282941635,0.298205462702197,0.0796645494914838,0.550260195988836
"FAM129A",0.166702674051538,0.0933426599222622,0.502473609682775,0.0101264183083991,0.420480015270563,0.0224365006217206,0.404876139182475,0.430476013268518,0.377313866243771,0.370591788018867,0.372080495203489,0.165110402905109
"LGALS3",0.476880876843056,0.138516467904641,1.5707218706544,0.0115647147161989,0.55879350195617,0,0.401622651627141,0.464858162751715,0.674406546022077,0.90021083825116,1.68095329728065,1.67591533165295
"C12orf57",0.953369331939776,1.39898638876191,0.799311264487941,1.81455880027553,1.68030646193269,1.53753469543878,1.55700573998008,1.65825030044471,1.41643518861651,1.14339670454229,0.702198621191893,0.921970689620614
"LEF1",0.0282400410802243,0.135356576149562,0.00625734931329726,1.29210145353055,0.937153026743988,0.799875993269017,0.190112451480618,0.545972141626819,0.0392123599033854,0.0514299955387637,0.0326312577696246,0.0231461365207212
"RPL10",3.83623721060441,4.65501074597298,4.42895096432884,4.94824009646589,4.83142043273931,4.96565896612149,4.68831992122908,4.4102521006689,4.21675654817583,4.51932722147053,3.99013724327383,4.18371115859509
"ZEB2",0.0646941336665096,0.870392585244063,1.3265822097095,0.0201513194158833,0.0696531693687824,0.107463716009614,0.807236838077056,1.31287565727152,1.68622197350335,1.07973422095995,1.71243555563561,1.80521699213569
"NUP214",0.108468936055299,0.178711474712113,0.877982534436644,0.149619150731771,0.140950717813764,0.204491412000165,0.190112451480618,0.248767993169057,0.202586986980142,0.420916380182338,1.26005635774304,0.79820029331795
"VCAN",0.091188276002747,0.0250490076470489,1.51020429798351,0.0454774242779347,0.0619022380493917,0.0443806315355487,0.0567896892686576,0.205912357250124,0.0740924589198067,0.737495757910412,2.82805141373321,0.880775708572094
"CFD",0.0736037357937116,0.0250490076470489,0.623915800705612,0.0755850493131657,0.0529698369044113,0.0868750380602954,0.0613797431246543,0.052401677911621,0.0480471044694718,0.346003783709495,1.92886024697009,2.23889519053476
"PLEK",0.133842593470908,0.781581568541629,1.20259833416332,0.0244171304417148,0.125424413230369,0.0224365006217206,0.998438357092857,1.2377514313065,1.57928196500111,1.30246587249187,1.23038817092659,1.20059569912818
"LYN",0.190657980878867,0.910548661426588,0.883186643054965,0.0144351162796491,0.0210627267555863,0.0224365006217206,0.106157445821494,0.357948226491748,0.622954091425943,0.962581851628938,1.23883242307435,1.89125274570146
"STXBP2",0.458942017710536,0.45498913771026,0.785098913473222,0.270906019549583,0.497434049493768,0.107463716009614,0.490434854210856,0.690784635710406,0.675972543899778,0.790745755766432,1.64867543345025,1.76394658244783
"AHNAK",0.588892717087551,0.663791650227227,1.65213758757195,0.302558821682957,1.07578911279513,0.258488451605513,1.2000504636651,1.18980952920854,1.30275457336098,1.19396232916154,1.86809197396299,1.44530074757231
"PLBD1",0.0646941336665096,0.00722111347186383,0.977242603373925,0.00868605022399998,0.00941602382093119,0,0.00969174744458568,0.0133600915191788,0.0122299279021762,0.61453986996153,1.36672143048443,0.670981777672404
"KCTD12",0.0282400410802243,0.0215087648842075,1.3431029750882,0.0537789012782307,0.0279861897554218,0.0443806315355487,0.0264295203011989,0.0133600915191788,0.0122299279021762,0.743786691873975,1.46309771077163,0.839497613692633
