"","Bcells","Others","Tcells","Monocytes"
"IER2",2.45781477235389,2.27169557541888,2.58509166132744,2.5450368715737
"MYO1F",0.654428309358097,1.46403849799392,0.780037619096342,1.60633423760128
"PDLIM1",0.731281080075766,0.447731253637795,0.0450305063079027,0.0273915757305495
"HHEX",0.660186379873997,0.304977196005731,0.0153957451401888,0.638579155101714
"PRKCB",1.26011840080158,1.16575648822683,0.740830573032431,1.18335967121906
"CXCR4",1.61015081887666,1.10887843476972,1.53892316993874,0.727884048646823
"FAM30A",0.725919226059459,0.275182815602052,0.00628313570725294,0.00256801222444327
"NEAT1",2.22479301080734,2.27393335991463,1.89006166584485,3.83015002636488
"CD3G",0.115307095258029,0.389377818726798,1.58468361033226,0.0574574327596433
"TSPO",1.28859532913001,1.29918569355904,1.15009923028793,2.54483507992389
"GZMA",0.451298986104047,2.65115873187166,1.46967412863606,0.0790717717447042
"AFF3",0.532790303820447,0.240211717921896,0.0519588208034761,0.0408110447836163
"MT2A",0.340422699614646,1.13073466024701,0.820116706720458,0.810778125808243
"CIITA",0.756798985042727,0.419575213429107,0.0248990927749072,0.520236982996117
"TCF7",0.242212289042057,0.259945985386753,1.30940007921134,0.130922462191366
"CD1C",0.949059444090333,0.66984497167769,0.00242126483651949,0.116837929009065
"FCER1G",1.19502015568499,2.11037675070754,0.23139653372469,2.76397043433704
"BIRC3",0.710569295327625,0.342942409643477,0.51140001320267,0.242241539043369
"REL",0.967525633975538,0.757593420805669,0.347145627986086,0.890494902897581
"TCOF1",0.665911484741796,0.471733807621079,0.262453314365433,0.372258620743304
"LTB",2.11577889377654,1.57339158304395,2.70686896431565,0.485718977350233
"BLNK",0.476911007320866,0.240211717921896,0.00242126483651949,0.0153100747528802
"TYROBP",1.56084273364806,2.6015343950563,0.465593258246442,3.27787077002425
"LINC00861",0.0885504784170087,0.584806468131307,0.851020752019527,0.0323827709111892
"CEBPD",0.658270704605725,0.908532688958758,0.286039857539393,2.035972700444
"LCP1",1.23620040964105,1.7348901433471,1.24688003807411,2.19032926109622
"MS4A6A",0.967525633975538,0.945774302257111,0.0431748200424466,1.98727159955617
"ARRB2",0.524056801193629,0.859941304855172,0.668969828278604,1.44670962896893
"ID2",1.40370801375658,1.51385592032976,1.22104952165024,1.78032385921018
"SOCS3",0.276500451256694,0.161763216684217,0.731308986026093,0.770665786742672
"RARRES3",0.547892768967875,1.51026446254947,1.26674676818334,0.540210216152484
"CD2",0.317770726829071,1.22277544622941,1.35557174202804,0.0704820159696582
"SWAP70",0.71420229880238,0.30631062038727,0.027260884930394,0.254676355650446
"MCL1",1.15848680029294,1.23020865265261,1.06172685610613,2.28803980924386
"CD22",0.783375350473266,0.189101892610074,0.00193748064398195,0.0213690704639861
"SMIM14",0.741037094076795,0.540466972958253,0.188561538087659,0.547970216099757
"FOSL2",0.191532208010181,0.332612391563022,0.222509432101184,0.950106666838791
"SERPINA1",0.317770726829071,0.348067676340779,0.025844479109821,2.08631374163897
"CD14",0.231986035142284,0.220080155670179,0.0333755659351002,2.32607668222256
"BASP1",0.956202236704805,0.66984497167769,0.0139624212475512,0.58072616171236
"UPP1",0.180771458746118,0.605766388144496,0.588317175813276,0.783668234708115
"TOB1",0.496262368240463,0.664271074454926,0.946508998921729,0.796503786754828
"ITGAM",0.146177825884011,0.605766388144496,0.116568184011853,1.00749118361122
"IGLC2",4.80188996914798,1.09079965144499,0.0519588208034761,0.0584280558151607
"FLNA",0.986347834757451,1.63099925091587,1.14933142139211,1.76106645828982
"BRI3",0.945468823920595,0.907802734692287,0.576401109468643,2.23080936115648
"GLIPR2",0.445385438405813,0.879662086321321,0.494097718543905,1.12715994476033
"MGAT4A",0.209714014668769,0.60180774637289,0.813045810418402,0.217725823736411
"CD93",0.126791694643802,0.116082307885512,0.0153957451401888,1.09361755799892
"PKIG",0.425013708017681,0.125706266336985,0.0134841897156528,0.0183441615300421
"TLR10",0.458349390001303,0.201016566443647,0.00290481509508107,0.0253881013374882
"IGLC3",4.34446863261274,0.78355913986762,0.0487315799659212,0.0343722944415504
"GNG7",0.616170295399584,0.31030025848542,0.0267889725334922,0.0447528447532557
"RAP1B",1.12598799011374,2.01492284721718,1.47201317097224,1.34151762828979
"EFHD2",0.864587562546133,2.00204905808859,0.685716771495162,1.69927303370895
"SLC11A1",0.0986682912225101,0.0965519914819287,0.0422456839708122,1.4121089251429
"CEBPB",0.721428947764081,0.805637819356425,0.597695499977203,2.10158263349186
"TSC22D3",2.10635971115124,1.67501267789593,2.06283428800289,1.81273737130823
"CD6",0.112001408753085,0.295593106332937,0.868260656733218,0.0258893463654195
"GAPDH",2.48394872410306,2.6118176755064,2.22693063562752,2.98375270423081
"S100A12",0.200664433031982,0.164838018679784,0.0220575593797823,2.59697253598794
"FCMR",0.755929811729966,0.479608316685923,0.630231173998019,0.0248866049369744
"SLC2A3",0.423802348125508,0.526665580599306,0.968653404325868,1.35447527438392
"GAPT",0.783375350473266,0.518076758197433,0.00580121667323756,0.53720949279757
"AIF1",1.45080651129028,1.03451541622551,0.471359521368515,2.90840593506795
"TIMP1",0.706009401255975,0.81128322828513,0.698577788126567,1.48073812196488
"MPEG1",0.561715150555111,0.549911411057671,0.0130057293689255,1.64031305436907
"ORAI2",0.753317749804529,0.38075653312975,0.22947126243501,0.349314700155855
"ADGRE5",0.423802348125508,0.904144949405108,0.589931147821319,1.15654470029047
"TNFRSF1B",0.487202474461281,0.71157631684576,0.429648674245273,1.58569460011744
"TYMP",1.02096232288822,1.03258360705074,0.318647110565451,2.51986446524184
"BTK",0.659229000966258,0.312951201672228,0.008208492736044,0.578421702802283
"TRBC1",0.265201192854002,1.43083617321394,1.84066904920979,0.0913503691736146
"PTPN6",1.37649882128719,1.27216309320423,0.754603196314113,1.37184291559083
"S100A8",0.997336815949005,0.82009069119016,0.17400133932346,4.53155952525264
"RORA",0.149372621855121,0.814494924436077,0.972327489948605,0.0323827709111892
"PAX5",0.411607351656759,0.106364828083325,0.00145346229101178,0.00410566005892054
"SAT1",1.95378576658901,1.82141044227444,1.60310045066469,3.17187988379936
"FCN1",1.25061974187729,0.560301666544841,0.0850078965446136,3.1847969621151
