"","Plasmablast","NaiveB","MemoryB","NaiveCD4T","EMCD4T","CMCD4T","TRegs","NaiveCD8T","MemoryCD8T","NKT","NKcells","mDC","pDC","CMonocytes","NMonocyte"
"FAM129C",0,0.94352813029282,0.00625734931329726,0.00579907509324674,0,0.0041604415488515,0.0365405524020236,0.0224365006217206,0.00243175701114537,0.0265440416723065,0.00307153282941635,0.325234444402233,1.26320344346632,0.0100189534642085,0.00777505810949902
"VPREB3",0.0189150251689126,1.18207730512832,0,0.00145292456361173,0,0.0041604415488515,0,0.0224365006217206,0,0,0.00307153282941635,0.684861465047115,0,0.00472730804670763,0.00389508547679208
"FCRL1",0.0282400410802243,1.02085825813805,0,0.0158672332602619,0.0117292046751361,0.0041604415488515,0,0,0.00243175701114537,0,0,0.329309102563618,0,0.00177536038798961,0.0154901307808076
"CTSD",0.819700823664716,0.45268746485177,0.666711866661962,0.570502439265219,0.687181623362611,0.624426328716906,0.598154964036988,0.477867925552708,0.936451794939848,1.28721921275626,1.65320555482666,0.45880681900707,1.11227762572973,2.08879415802101,1.61415960718997
"CD7",0.0557044363786314,0.403086633693908,0.0430008401821694,1.47050342674201,1.28462561361604,1.11074154954558,0.817732098661235,1.52773415921461,1.48355776452754,1.994465665569,2.20723543175605,0.235591548125085,0.550012340459324,0.114599348215538,0.138284229249443
"RALGPS2",0.273888591194044,1.350418335322,0.0549546548713056,0.108732841487861,0.0376274734283773,0.0388423030135015,0.0365405524020236,0.147411430663295,0.0192904658137539,0.052401677911621,0.024312090013306,0.940018889759995,0.180805635198018,0.0653415889530567,0.0751572148674116
"GAPDH",2.63179564097197,1.93613004572307,2.9700013557953,1.68013933842658,2.34438046573089,2.46474376020624,2.96641162210444,1.57580367690242,2.38087309790558,2.67439243096399,2.52294089920364,2.88355487837586,1.82011322601817,3.0357128978656,2.55079727330294
"HLA-DMB",0.0374789038308605,1.52646546875196,1.76465234886759,0.0385064921838242,0.0432926813525486,0.0567276406125004,0.17065528967938,0.127637037562366,0.190112451480618,0.259200958019116,0.126945564145183,1.68383468255627,1.51020181421993,1.35517869023933,1.07429381141321
"BLK",0.166702674051538,0.986324751700201,0,0.00290374119972527,0.0117292046751361,0.00208238443210045,0,0,0.063666893430209,0.0395564346326721,0.00307153282941635,0.54106756446001,0,0.00118392373449081,0
"SPIB",0.0374789038308605,1.08163901030328,0.0957023562935625,0.00145292456361173,0,0.0041604415488515,0,0,0,0.0265440416723065,0,0.65006724884823,1.70451853478779,0.00767056735172061,0.0154901307808076
"SWAP70",0.0189150251689126,1.04917538836391,0.268171526282577,0.0215752792866672,0.0233224285141486,0.0165389079404438,0,0.0868750380602954,0.0311607317628342,0.114263629236829,0.0712318044999405,0.670510709880923,0.0944835983706284,0.228778518783432,0.410352182569094
"MS4A6A",0.0374789038308605,0.0250490076470489,1.86577816995338,0.0244171304417148,0.0573168584938184,0.06652743441653,0,0.0224365006217206,0.0264295203011989,0.114263629236829,0.027309958377408,1.45488148603824,1.87932818861538,2.06661848848841,1.20176977459947
"FCER1G",0.288304377328713,0.248922554798243,2.09177148374775,0.119112204878774,0.0955694398048158,0.10854088089687,0,0.107463716009614,0.311306372809981,1.32724625509531,1.88455170861821,2.22914277282399,2.73101100650733,2.66796027199294,3.23596041627863
"STRBP",0.206315201668781,0.922143552119095,0.0247978457703711,0.150870297101298,0.106235268998244,0.145261191595706,0.105844583383926,0.0658535396397555,0.0973608733988011,0.13797521625821,0.0152641814649167,0.337408946093986,0.783487592041793,0.0314840069898302,0.0457686269408972
"HLA-DOB",0.0557044363786314,0.906165680685041,0.151175818987632,0.0172973022144924,0.00294522394837002,0.0124297541471761,0,0.0224365006217206,0.0121000785401907,0.0133600915191788,0.024312090013306,0.392342010917256,0.0388710890033012,0.0239946221263884,0.0494897816209909
"NEAT1",1.91623810131431,1.67203400688335,2.87196027253253,1.3099147678558,2.05320652776628,2.05943097881947,2.882508324499,1.27722432887224,2.01337097922045,2.58622972029169,2.35775036806707,2.28819460251392,1.32301733291782,3.83337615038924,3.80862920566585
"ARL4C",0.604662664461974,0.639237413499782,1.2629664040047,1.37595369516958,1.60047126728608,1.50128661947728,2.092891394651,1.112550785768,1.97154228600567,1.96850708063418,2.06335703517342,1.16098763983509,1.40409135570681,0.59837929932659,0.559224160831922
"LAT",0.142159396677305,0.214433087700353,0.0549546548713056,1.09446752399277,1.22665214776222,1.21557204216478,1.21842211223561,0.896971667793823,1.13491171498345,1.27601883462779,1.07249390811505,0.09174819853303,0.0577543244841976,0.0867498269811508,0.114206082969421
"IFT57",0.190657980878867,0.94915428688861,0.198599892620499,0.229009958941546,0.235436391271051,0.2495902208573,0.0717928288677425,0.166802367503943,0.239216479348509,0.227569733334661,0.174564715824445,0.462372906053551,0.0577543244841976,0.117763410178811,0.219833209696698
"IL4R",0.00950223418992091,1.42285035130807,0.161910569110668,0.269796470446336,0.372448339638276,0.28939051983874,0.138774898119981,0.107463716009614,0.20608960898305,0.205912357250124,0.192487691555205,0.146922237766966,0.0944835983706284,0.306705962201438,0.229186820280904
"FCMR",0.158588328235612,1.1435660020184,0.012475787560129,0.785597843051661,0.536987550698184,0.572881449376181,0.896674883511815,0.657672203054001,0.463231565211553,0.561434267101493,0.458318220600806,0.601707728186713,0.0944835983706284,0.0263050281438643,0.0154901307808076
"LINC02397",0.0374789038308605,0.749563563270486,0,0,0,0,0,0,0,0,0,0.203831281656548,0.0577543244841976,0.00118392373449081,0.00777505810949902
"CD72",0,1.05927690780515,0.172531307181182,0.0144351162796491,0.0204366984568292,0.0144864416854371,0,0.0224365006217206,0.0452215245971542,0.102193607783567,0.0854539387697265,0.308767725631102,0.147165613318008,0.0199385224057111,0.0307439728997355
"CD40",0.15040760080105,1.02606682840836,0.172531307181182,0.0286648215924405,0.0204366984568292,0.00830364551501567,0.0365405524020236,0,0.0168994100880057,0.0395564346326721,0.0509747589990578,0.527818814843414,0.129911490399119,0.0980902770688992,0.277646779547148
"CYB561A3",0.116998558083287,1.23719858268891,0.310468560101514,0.187694795823263,0.233102847637806,0.281556177148963,0.17065528967938,0.147411430663295,0.229586677578904,0.309792975234878,0.263496678685032,0.65006724884823,1.89732191223256,0.384254496919223,0.384120076286916
"CD3G",0.0466331907846684,0.199703840552157,0,1.58140306146841,1.55293127889163,1.61696576538352,1.77707892728844,1.52279763522748,1.6335399914155,1.14374755151366,0.542233372631415,0.127209368432116,0.0944835983706284,0.0541826157769561,0.0787707958759096
"BIRC3",0.091188276002747,1.02346593441991,0.30585627385632,0.523386095464403,0.456230979461267,0.70174134518588,0.997668958376562,0.292931802546176,0.289673208316632,0.248767993169057,0.16156301877622,0.655951008364868,0.0944835983706284,0.217882059059894,0.389421836347246
"LINC00861",0,0.160360472779529,0.012475787560129,0.958622949382017,0.900175522145809,0.752118721957012,0.695565179372106,0.449323957394543,0.729339183667373,1.0399813108686,0.829436589482563,0.0813810980618839,0.0762875818946073,0.029760659193123,0.0494897816209909
"TYROBP",0.190657980878867,0.567915379647455,2.5089701532209,0.0579039390449369,0.108884045620865,0.138024208279302,0.17065528967938,0.0868750380602954,0.775233241642511,2.17789977672602,2.77813766650412,2.26967469407906,2.30826193315403,3.27686297386677,3.28448575543013
"CEBPD",0.259261946776588,0.0699667172445778,1.34474013879989,0.0144351162796491,0.307372176173311,0.0606590899375566,0.105844583383926,0.0443806315355487,0.768481975036812,0.439183009187925,0.496485650451333,1.47188826036835,0.260264683657995,2.1104887168976,1.32316628850793
"FCRL2",0.142159396677305,0.88545386396219,0,0.00435245601591437,0.00588179901928142,0.0041604415488515,0.0365405524020236,0,0,0,0,0.217566522406633,0,0.003547574456498,0.00389508547679208
"SERPINA1",0.0374789038308605,0.0285767612925796,0.785098913473222,0.0158672332602619,0.0290690258307645,0.0247069043945267,0,0.0224365006217206,0.0382158412133067,0.052401677911621,0.0392123599033854,0.777338783788169,0.164127073972558,2.03531070507498,2.36970715394171
"GZMA",0.125456040548863,0.721782397681929,0.012475787560129,0.0468657983417117,1.31596523418549,0.639935343335594,1.1501127947104,0.0224365006217206,2.45358544074488,2.7528394872902,3.14738674686034,0.0813810980618839,0.333872105206526,0.0642312785083647,0.171705991100144
"LGALS1",1.931574986997,0.621878103302673,2.60991342864399,0.158344479752377,0.95272499186713,1.28770354930841,1.96581083718582,0.147411430663295,1.11195360199944,1.54153973043994,2.02512167243262,2.44985994331657,1.49253808229748,2.678264878701,2.47030367649804
"RARRES3",0.73182456547806,0.536628075501917,0.427580243031664,1.07975969739901,1.24039767896169,1.20625647117336,1.30279814348154,0.959731959247675,1.53311750281299,1.69348728759175,1.90307015107212,0.384676779841877,0.19721057931991,0.506718826895846,0.736612741536581
"ZYX",0.0557044363786314,0.208567397156921,0.650467859937044,0.249611142722278,0.516082067849585,0.464999482169154,0.556368977373584,0.258488451605513,0.479943552235923,0.730432804092862,0.596199801250158,0.769514419768396,0.415596219793361,1.17103148138635,1.06087500777403
"PLEKHF2",0.108468936055299,0.957534612784852,0.243876386253851,0.155859287416156,0.240087205522541,0.208139962381719,0.0717928288677425,0.127637037562366,0.194130736039278,0.216799674388952,0.195022093599519,0.440783097709263,0.147165613318008,0.269406399214627,0.247635593572674
"ORAI2",0.540033460485344,0.997078023336003,0.319629799480421,0.184072771865335,0.278769442640993,0.229908384896227,0.138774898119981,0.0868750380602954,0.261956553698762,0.329334216620615,0.275245745741767,0.490452837515385,0.594733212794914,0.364292926533632,0.244584337155209
