"","Plasmablast","NaiveB","MemoryB","NaiveCD4T","MemoryCD4T","NaiveCD8T","MemoryCD8T","NKT","NKcells","Dendritic","CMonocytes","NMonocyte"
"HSH2D",0.477749648976142,0.742105922996283,0.377408979405571,0.310729779398759,0.424969430856985,0.26674097113516,0.561531713789011,0.703919922548871,0.870050919814787,0.53576204168169,0.485740828621467,0.522502686446155
"RPS3A",0.600375582201377,0.366440022764803,0.278977065811213,0.340777615961772,0.472773017115463,0.229259474779006,0.421409560072261,0.480753561875685,0.535520024719359,0.352800218622026,0.445634933033016,0.373510111071334
"ST6GALNAC4",0.444187356013841,0.456624774810994,0.263310973198136,0.32336945433988,0.330370880291986,0.288269291667594,0.353989479368443,0.331080063522234,0.361421855444263,0.563067112665506,0.291837153462892,0.282534428469284
"FTH1",0.576735258936749,0.556735562402613,0.402816005021947,0.649806197889797,0.65200727851905,0.473281152914081,0.708212004700429,0.508793439314469,0.763083262541367,0.730494699786432,0.554816760428371,0.425171566192983
"LAMP5",0.641029297519121,0.1,0.276119416254614,0.149535192708677,0.1,0.1,0.1,0.1,0.1,0.633619587792665,0.145451397013863,0.144110262751197
"PRDM1",0.522452421520247,0.313988197773436,0.237659701030249,0.220506993941912,0.635775794010759,0.1,0.693308491433309,0.69634072088581,0.817220358002631,0.295109897053094,0.261391007898723,0.289855495912131
"HCST",0.667104920777027,0.799042659163644,0.690282272498785,0.952602606459187,1.01122623759928,0.768729845443916,0.835413720896468,0.766016117153841,0.784285378528296,0.846743612395218,0.843419489130609,0.777775681966539
"AQP3",0.602698222624485,0.281499649614331,0.1,0.739958346046013,0.931162401672568,0.588109166450966,0.824714537416981,0.57200342659991,0.317572650195566,0.332615302528396,0.212403312272025,0.268896379117181
"ACTB",1.08476839986061,0.654035685445788,0.442856667705105,0.814288443422797,0.740958689491707,0.561025578155288,0.732259145138302,0.504702513225816,0.721079340623314,0.996895138896696,0.502203368587616,0.535724655058693
"MLEC",0.523514357344697,0.454951689141259,0.514906871718223,0.435251179442642,0.487973664891101,0.469211411148271,0.573238742211163,0.497690887278389,0.621450378933513,0.629538016114352,0.544029987764571,0.494145190322844
"S100A4",1.0219741839772,1.14444728763667,0.683891465585671,1.02606483668449,1.13753308181012,0.929037895391865,0.862290619082,0.71191135354238,0.847071783319272,1.53918514388256,0.544352211243654,0.583469757347784
"RPS27A",0.552108052056771,0.366545792946084,0.281645480592148,0.31828240852954,0.447794392565507,0.241448519023093,0.439797830328165,0.417696396460841,0.472700136768189,0.443809884918792,0.497248241696116,0.35410191847381
"HDLBP",0.673421603551469,0.461539122263446,0.48274218219534,0.452847241554491,0.494361005645206,0.400439774246229,0.516312133234957,0.459236954040908,0.516168418880243,0.50401076007375,0.652546401817045,0.569536644165089
"RAP1B",0.476529077983708,0.935160687539614,0.536950208451677,0.909651616888406,0.897199516541352,0.713634787751982,0.98133987437426,0.659570406063911,0.865434068354106,0.710133375959452,0.810583586225919,0.647017736938104
"CXCR4",0.296427274002617,1.0839314698123,0.752079155783775,1.02302482404479,1.02567148181865,0.739630701890226,1.12015368503055,0.881479989433991,0.907409242733219,0.928924587170606,0.808847075555424,0.598651609212195
"RRBP1",0.716416609649477,0.407223602641182,0.483334502301175,0.369279113181571,0.461233064103568,0.400675162678621,0.523155911401225,0.558112003589279,0.682816293513402,0.691628109298022,0.583709091646447,0.552911810132603
"CPNE5",0.426302208529262,0.598907472753582,0.285268795852747,0.138239924885555,0.198732434241658,0.1,0.189826629856068,0.1,0.16163620341428,0.562191890037418,0.287203726966216,0.233336447297069
"S100A6",1.00543252478758,1.04429766494857,0.732132444130943,0.906665398539528,0.878905514329737,0.644875306000742,0.910343920765399,0.659315799397684,0.962271697225282,1.19980287347658,0.557293631096732,0.600401314383235
"CCDC167",0.549056690220335,0.421226239745202,0.310696025548793,0.476051727874321,0.586435212238011,0.402167379605834,0.608698095248047,0.555613817767618,0.578627728587274,0.416418520575133,0.327391309888473,0.356402006114113
"IRF4",0.646387961863205,0.414600382679945,0.457025445200371,0.23898671764967,0.24583397519248,0.200250618043794,0.151415791189727,0.214785024289862,0.168927415210019,0.61025207155505,0.273405019021974,0.221127601413044
