"","Plasmablast","NaiveB","MemoryB","NaiveCD4T","EMCD4T","CMCD4T","TRegs","NaiveCD8T","MemoryCD8T","NKT","NKcells","mDC","pDC","CMonocytes","NMonocyte"
"HHEX",0.1,0.856726344220683,0.52042467042585,0.180526751408412,0.197210130023426,0.165065039246148,0.183723694695903,0.1,0.238934836497462,0.213113750291556,0.388665439534119,0.601674006133362,0.565629886750994,0.663836280577906,0.639311143895489
"ANPEP",0.201190936382445,0.136555726030364,0.328022598573738,0.149189847107026,0.144136252240204,0.145246553690463,0.1,0.1,0.169040385838756,0.283309108094393,0.185976958177454,0.42081447243671,0.230505263164513,0.843856922982214,0.544374428563279
"ZAP70",0.276105773655529,0.436003526612548,0.151176950852028,0.751123929356288,0.894338140551491,0.771092769697197,0.594401373893624,0.562376215214051,0.925706440143236,0.741899200076559,1.02497269513958,0.204760730345435,0.388328489084333,0.246305960433891,0.287446190131454
"YBX3",0.473609178583671,1.15140320726633,0.756957483636959,0.373070435349062,0.334751275542921,0.350642695470492,0.211343401362308,0.638584436937329,0.567083712396309,0.444210880089344,0.355270386160983,0.750151653392339,0.343159344057304,0.885291556087964,0.722604158723559
"TOB1",0.310029725592698,0.510100065916497,0.584193264601731,0.816829471270944,0.96540248560189,0.810321058009034,0.890401182003246,0.770425712221895,0.914243368567243,0.694982371219316,0.663433077756038,0.741257648587862,0.672631269101229,0.771931285618528,0.582498612525287
"PAX5",0.1,0.779853034074268,0.1,0.144057545565673,0.1,0.1,0.1,0.1,0.1,0.155656918575635,0.1,0.572521802853517,0.1,0.135937414378852,0.151789812423888
"CTSW",0.383803115623453,0.677021700146694,0.37207517396689,0.593414413905404,0.968282313146717,0.645181499459025,0.361050873350249,0.709416581531859,1.02621243267858,0.738795663728119,0.749251163991371,0.382494358305436,0.62098080666716,0.248685820744488,0.325922406440243
"TCOF1",0.342923068317238,0.863014703073127,0.559182055423576,0.458727263283741,0.527701974793121,0.501650763214767,0.611923736316762,0.452186337430693,0.584800655142963,0.485514202302213,0.581069025970684,0.614654390015314,0.660776365708977,0.537589015778477,0.491514124153805
"BRI3",0.458114572455905,0.679049740482041,0.532653049345973,0.717896959810808,0.697710083780747,0.672390311181424,0.719311495669636,0.553306201702879,0.683294277038422,0.638110502167993,0.698000650652506,0.800255331055099,0.656807903845774,0.661650496922254,0.479621423889444
"PILRA",0.143013785554728,0.18075422882456,0.579050844885126,0.182631658978043,0.207225974335937,0.200172007791542,0.1,0.206111750631297,0.207909596411955,0.205564128842834,0.25774352868237,0.569934038558025,0.198320521602243,0.770037190745641,0.641984345983884
"FKBP1A",0.54557205621594,0.858645467546362,0.473013009173219,0.779143504526376,0.883402003067994,0.804475582131982,0.783087778018172,0.587559459757604,0.796417957079407,0.723214641342548,0.852635453203938,0.92863274135028,0.788056518672637,0.774445041486317,0.592379558704818
"EZR",0.555093012773851,0.951740838503594,0.539592016899453,0.658324509599308,0.875747074312891,0.778385236011018,0.798888351882747,0.677705234745938,0.885977505220934,0.745182940103274,0.816699136938655,0.740153099640601,0.641479026010274,0.673421238348011,0.692031225726148
"GAPT",0.1,0.911391952790395,0.574489749845239,0.169186964067197,0.165560887764186,0.135560620092782,0.1,0.1,0.151224483869781,0.1,0.162525717819995,0.676436012881563,0.765631365405895,0.655807287433766,0.573748304844198
