"","Bcells","CD4Tcells","CD8Tcells","NKTcells","NKcells","Others","Monocytes"
"SPI1",0.94834235072001,0.0219308605192966,0.023898720193431,0.0650840113209944,0.0421659557766755,1.35487178198006,1.9333278535833
"LYZ",3.75563873824467,0.370652377588815,0.503943915350725,0.762312911050075,0.6490112016134,3.79301972375732,5.03569473406728
"RGS2",0.694055440372077,0.271842270517037,0.482460742789206,0.269526199025664,0.458318220600806,1.25971797001937,2.10584903028835
"NAMPT",0.763725308118917,0.281731645898454,0.247987471444183,0.248767993169057,0.202586986980142,0.679022145534252,1.93822599256767
"RNF130",0.707835854757302,0.120865927633583,0.225428725233127,0.194905200508277,0.275245745741767,1.21375507119888,1.50180485621709
"AP2S1",1.05956658133239,0.61786799331414,0.711882718181816,0.869334478175683,0.939874903482657,1.32492867702036,1.56397436392467
"LILRB2",0.212712434050806,0.0129586780610591,0.0152742150342859,0.0133600915191788,0.0302988663820689,0.385657836558548,1.1692437280162
"TRBC2",0.804305047676925,2.14095447703215,1.9759893577311,1.95145639824778,1.52119327099634,0.44092400428965,0.11957949410184
"KLF4",1.00074625435875,0.101610875818086,0.0802460572599798,0.227569733334661,0.068362943253858,1.16557737725028,2.00099295010793
"IRAK3",0.112001408753085,0.0103803418257418,0.0131064162171825,0.0395564346326721,0.0152641814649167,0.216632511104962,0.890494902897581
"C5AR1",0.0291981635188767,0.00908867648374237,0,0.0265440416723065,0.024312090013306,0.0217514969222985,1.2231887704391
"PSAP",1.29672951160282,0.439363436707052,0.531457855867373,0.697502793015022,0.837457265827269,1.49935158888027,2.75364024613597
"C19orf38",0.279305429010874,0.0129586780610591,0.0152742150342859,0.0133600915191788,0.00918643961715708,0.285063732269397,0.993307976510382
"CD36",0.344367381427987,0.0155303835712091,0.023898720193431,0,0.0538938673816786,0.75625106278573,1.46553279496352
"STXBP2",0.564877979940715,0.402114208296078,0.45911757656226,0.690784635710406,0.675972543899778,0.790745755766432,1.66464675566846
"APLP2",0.81665577715539,0.193305298590429,0.22014978869215,0.329334216620615,0.55820331726397,0.683472746066824,1.90946168812738
"LGALS3",0.840908824370146,0.349267406244451,0.369044800405316,0.464858162751715,0.674406546022077,0.90021083825116,1.68029088667666
"TNFSF13B",0.46999071294054,0.11040915983655,0.13166134155385,0.114263629236829,0.062600410978119,0.735389954445537,1.39109158872818
"C12orf57",1.17234368614009,1.7427600456393,1.55513540376698,1.65825030044471,1.41643518861651,1.14339670454229,0.734073669813107
"CTSZ",1.41636630418615,0.187375006896062,0.230679940875925,0.269526199025664,0.268212883267704,1.72045485891083,1.67201646291092
"FPR1",0.0986682912225101,0.00908867648374237,0.00657468022316418,0.0395564346326721,0.00613366022663245,0.18424140005276,1.10679583776992
"ZNF385A",0.28349819827617,0.0103803418257418,0.0131064162171825,0.0265440416723065,0.0122299279021762,0.568289223911755,0.87088447661062
"LILRA5",0.055818200146729,0.00325544667703812,0.00219636651280864,0,0.0152641814649167,0.291656185465296,0.959606924960658
"JAML",0.920704601810848,0.371102445104289,0.482460742789206,0.216799674388952,0.068362943253858,1.25596739506727,1.56880631189869
"TIMP2",0.359992320899166,0.0301907026913362,0.0174373246630624,0.0133600915191788,0.0362500144524165,0.376645472863926,1.24474800109989
"CTSH",0.920704601810848,0.178140272082013,0.182395726231874,0.0650840113209944,0.0597066442693082,0.955840763949444,1.10168207313992
"DMXL2",0.0697310179997816,0.016172277890076,0.0174373246630624,0.0133600915191788,0.0392123599033854,0.158302328690116,1.02221643092765
"PYCARD",1.03223925184676,0.480128458673757,0.603736657178086,0.749682565485041,0.884275562637119,1.40682415037933,1.80261457424871
"ZFP36",1.73848656552715,1.30353595478184,1.71089009389411,1.33435484590488,1.3540867192154,1.81573796695661,2.44842859054195
"RHOB",0.946906619464481,0.199200629153069,0.364473695431371,0.412831231538058,0.547585075271862,0.865654299637479,1.55108288611582
"KLF10",0.521861455452876,0.143153979433733,0.241100363421113,0.114263629236829,0.184845716837969,0.595325981739803,1.18335967121906
"LY86",0.91181577686347,0.0187357427996575,0.00657468022316418,0.0133600915191788,0.00918643961715708,1.0661977024308,1.19463527980607
"DUSP1",2.37332292913557,2.04572393062499,2.48311421107347,1.85525749040291,1.82882352171422,2.46448308229797,3.3924953912632
"CSF3R",0.305567493325667,0.0339800479239363,0.0535118634912805,0.102193607783567,0.0302988663820689,0.397549350178543,1.54397050573754
"CD302",0.239301157651368,0.0136022247358006,0.0217495571955809,0.0133600915191788,0.0362500144524165,0.60016417450742,1.15314170072009
"DUSP6",0.262356315991729,0.0849773780161586,0.12779882367716,0.102193607783567,0.192487691555205,0.169501561161117,1.55260818474274
"ANXA2",1.40143064650449,0.702110185844529,0.99718885239862,1.0818769528934,1.2477612348018,1.61774779731226,1.83817785325145
"LILRB3",0.163624224785935,0.0155303835712091,0.0174373246630624,0.0395564346326721,0.0122299279021762,0.400500264195929,0.94252109199125
"AHNAK",1.05828207498482,0.799346078412646,1.1391211982297,1.18980952920854,1.30275457336098,1.19396232916154,1.82159472722265
"ATP6V0B",1.11390338671685,0.590785273140592,0.755170489687342,0.891638050753659,0.938672359621066,1.30842623027253,1.74951029370744
"TNFAIP2",0.478059747979557,0.0244796246690873,0.0303186339781716,0.0265440416723065,0.0362500144524165,0.517176645698185,1.4974428153103
"METRNL",0.370274942019116,0.0295577467705837,0.230679940875925,0.717390635122123,1.08712213893567,0.570777540688194,0.760861862368632
"HCK",0.339104340190316,0.0103803418257418,0.00875666938644232,0,0.0213052074041841,0.495976964594612,1.15573551205029
"BLVRB",0.51966127956341,0.14541209548024,0.156410481006334,0.205912357250124,0.227397809142524,0.616915854825663,1.57414790116767
"NUP214",0.429844526768532,0.144848044328184,0.191514924728933,0.248767993169057,0.202586986980142,0.420916380182338,1.21008787823453
"NCF1",1.38209319296163,0.543445963614396,0.415094983969297,0.456372813890669,0.137725288364986,1.30246587249187,2.05801796678021
"CLEC7A",0.332486345280471,0.025115801967449,0.0430361231452371,0.0265440416723065,0.0332788674311293,0.619286207764447,1.49698254430128
"ASAH1",0.790960602952241,0.434729681655427,0.45911757656226,0.756017678838652,0.777088129960582,0.747958768292612,1.73419403364174
"VASP",0.832084189595686,0.518131932261663,0.758265516843912,0.880548444344599,1.06615856197687,0.96426004705021,1.37249488835369
"PRELID1",1.3083076850649,0.855226713696259,1.11056409738724,1.29092496709832,1.62027969778286,1.43967032030716,1.80608473328869
"NPC2",0.99596977911744,0.440203635599618,0.361414642354954,0.677211385018159,0.500223479307115,1.67041934151946,1.86832068628455
"ASGR1",0.144576592207925,0.00844221762375199,0.00875666938644232,0,0.0182892561769138,0.191530638507447,1.03270790598045
"EVL",1.13376538818069,1.88884884663706,1.80703801515465,2.17789977672602,2.13206146348635,0.800668868209125,0.53510361597233
"CD5",0.0523095391104343,0.618219500893327,0.379630148608822,0.338963480564228,0.0362500144524165,0.0721022842828663,0.0107416137925593
"LRP1",0.173013691823328,0.0110255493852585,0.0152742150342859,0.0265440416723065,0.00613366022663245,0.191530638507447,1.05246912947305
"SLC7A7",0.301466429860324,0.00455466371136096,0.0217495571955809,0.0265440416723065,0.024312090013306,0.314393421477634,1.28239214711341
"LMO2",0.602071635112498,0.00844221762375199,0.0195957653461975,0,0.00307153282941635,0.76856198384889,1.14368233075404
"CD163",0.133295585908539,0.00390526618979749,0.00438791956994077,0.0265440416723065,0.00307153282941635,0.198767128231096,0.793949822629885
"FCGRT",1.02029499714591,0.363876943924063,0.266686035738989,0.227569733334661,0.107796830926892,1.46437873823189,1.87520415184227
"LRRK2",0.202178395229272,0.0077953405843536,0.00657468022316418,0.0650840113209944,0.00613366022663245,0.244569405438815,0.871960200736323
"SGK1",0.379186311302922,0.208773190153975,0.205934847638304,0.0650840113209944,0.0568044793664405,0.548156594089332,1.09791528873013
"TREM1",0.0834529224582567,0.00455466371136096,0,0.0133600915191788,0.00918643961715708,0.123931836821986,0.783198368653817
"EVI2B",1.2952093837572,0.923287676396261,0.810444412096882,0.981241906641781,0.846734131639076,1.35260003032496,1.89061792247543
"AP1S2",1.01157899300131,0.438101813256973,0.349083984283527,0.464858162751715,0.394048186845762,1.59212526655225,2.09407235789958
"SLC16A3",0.233453346789269,0.113906912513588,0.244549846453045,0.114263629236829,0.16417691688907,0.406376096333966,0.928801607786392
"PLAUR",0.377918110230648,0.0346102117829766,0.0451400689023423,0.0650840113209944,0.0362500144524165,0.477051255953381,1.28296255448372
"NCF2",0.581579505275959,0.0327185276337167,0.0281832389217104,0.0395564346326721,0.0480471044694718,0.672308883183038,1.56505014965073
"TGFBI",0.504122996916639,0.0142453575245602,0.0430361231452371,0.0395564346326721,0.0213052074041841,0.837503424331349,1.17767382847506
"GCA",0.528433086735254,0.122598140796991,0.0659395914336154,0.13797521625821,0.0882742534344164,0.658745623003388,1.27939215870624
"CNPY3",0.946187980099519,0.464677158549785,0.567003722121179,0.677211385018159,0.668117915196687,1.2988725305305,1.40909745379998
"MYO1G",0.702346455888205,0.677905344629702,0.965042280527938,1.40279248565536,1.4645118949735,0.616915854825663,1.23537297749659
"IFNGR2",0.540370046679906,0.166613645782279,0.023898720193431,0.052401677911621,0.0182892561769138,0.5353647144176,1.10934294692904
"TPP1",0.603085300831144,0.205592507179021,0.268368694790524,0.489890570966666,0.458318220600806,0.724793902917617,1.11103742251341
"SYK",0.668761792594848,0.00973471770464704,0.0409277414658032,0.149623449494584,0.217547225661196,0.802641729001052,0.912829222745754
"CAMK4",0.0399313620218681,0.761700353933325,0.485171514991114,0.44781484725776,0.0332788674311293,0.0555987821619448,0.0223753435035559
"LTA4H",0.739270338194658,0.340026856954665,0.303065853295932,0.403890698550972,0.277579084644869,0.672308883183038,1.45778269659482
"NRGN",0.174570067314806,0.011670340920388,0.0217495571955809,0.0776075153743239,0.0122299279021762,0.301464086348396,1.00467058962109
"QKI",0.451298986104047,0.228166960771825,0.294913159246076,0.36730713033888,0.400252057846187,0.782735753356055,1.00805434897428
"CMTM6",0.770603987053308,0.510332763665089,0.518450347785067,0.599074887723514,0.689957251527127,0.974270503058595,1.17973078071305
"MS4A7",0.301466429860324,0.00973471770464704,0.00657468022316418,0.052401677911621,0.024312090013306,0.463310181881223,1.44743553506254
"GLIPR1",0.886956087896499,0.453965958304624,0.551924225286352,0.710805204189615,0.75708948039504,1.23059750258347,1.47263380955125
"LRRC25",0.374103828359647,0.00325544667703812,0.00657468022316418,0.0265440416723065,0.0182892561769138,0.471577463465618,1.0725514378166
"RNASE6",0.724125533527136,0.0238430423915183,0.0174373246630624,0.052401677911621,0.0332788674311293,1.11927789695392,0.877962964202522
"PICALM",0.289061351046094,0.159966853958196,0.268368694790524,0.329334216620615,0.422675865797657,0.454973982190838,0.90599411344535
"PIK3IP1",0.398018819830157,1.22067611155945,0.829809895743134,0.817254713856044,0.509507379900252,0.268389915459268,0.270888445153958
"GRINA",0.273687583465748,0.130069917000443,0.137427288411055,0.205912357250124,0.16156301877622,0.330323499268805,0.936289956506332
"RAC1",1.31230365725276,0.835060159816699,0.859104318115297,0.996253379374037,1.12478291679093,1.67866084097751,1.89835219283962
"H2AFY",1.02761120132604,0.670261289711707,0.603736657178086,0.787104869931679,0.714346079617761,1.52360394277699,1.62635424676553
"CASP1",0.776584260123831,0.404728145923961,0.682317364326531,0.811297027851182,0.846734131639076,1.01174159642645,1.41561088443275
"CD27",0.758535068559375,1.21875021515926,0.953245692506223,1.0399813108686,0.068362943253858,0.446567705691677,0.0303892812849983
"GPCPD1",0.37537687286178,0.257830754498046,0.270048527256089,0.29987726606989,0.364576749733317,0.415125612236497,0.966282081658255
"IQGAP1",0.945468823920595,0.649018967056731,0.834593231640448,1.17330416113008,1.17921438694181,1.10772339126793,1.57009089790287
"LYST",0.604097940072018,0.197596255415408,0.460505891837249,0.530267179137569,0.516872938050149,0.560786906153628,1.292610027819
"UBE2J1",1.0666020239377,0.241061122150945,0.304688446373368,0.338963480564228,0.327581478763607,0.901996941170039,0.799051244759889
"PTPRE",0.473456846428046,0.162741721603081,0.288342807474271,0.44781484725776,0.545804354799232,1.01014128447224,1.14940127040624
"CD300E",0.154145759349713,0.014888076959363,0.00875666938644232,0.0133600915191788,0.0122299279021762,0.327157720438225,1.10628563647985
"FGFBP2",0.337784240399734,0.0219308605192966,0.993124789458143,2.16717747081444,2.86716943081417,0.108268478659101,0.0348690574694285
"CCL5",0.874676753555278,0.958661321147857,3.13486811325772,3.44369016920683,3.7355510148531,0.367551147239412,0.254676355650446
"CTSW",0.480353278044986,0.602278047092835,2.1181022463109,2.58825329378413,2.94407125053923,0.275092840867034,0.0457358717423366
"TRGC2",0.0783292482265474,0.281239492995712,1.36888726540322,0.945313137541603,0.55820331726397,0.0345788568576921,0.0117586325175443
"GZMK",0.0680024646758412,0.893579050823453,2.3585577983948,1.52704045671009,0.279906991749303,0.0680018727205657,0.0569717677122053
"CD8A",0.0345791628950141,0.199200629153069,1.372795052087,0.799274104670591,0.153680077910127,0.0131075901564586,0.0163224602101166
"DUSP2",1.30329015989999,1.29356860210823,2.32257353876165,1.57271689620578,1.15624842190382,1.0661977024308,0.710599189028306
"CMC1",0.339104340190316,0.296384717808422,1.51196591389141,1.77194006997007,1.86711135672041,0.237658009659569,0.225143850910669
"KLRG1",0.128421637438353,0.387171429660256,1.43908023846727,1.24938619326329,1.01397681500592,0.104314002125699,0.0388343027753455
"CD8B",0.0523095391104343,0.393791372403041,1.30836044070332,0.891638050753659,0.0362500144524165,0.00438831430976404,0.0153100747528802
"PPP2R5C",0.652501561013967,1.16814041921499,1.66036601948862,1.8296888726649,1.78178745361961,0.731164997418477,0.689145344337138
"TRGC1",0.0627988046906885,0.1185516326359,1.07292954436646,1.14374755151366,0.905644686761348,0.0472437573564672,0.0127746179662147
"MATK",0.136531737288846,0.196525241128465,1.10183548439825,1.26848160951084,1.60987931909163,0.0761859511071385,0.0223753435035559
"CD81",1.20172402174638,0.918874250143418,1.60803392958218,1.86780074822149,2.05314513219397,0.933613002649792,0.470415153817345
"NCR3",0.240757782682085,0.188455860869357,1.07217726733899,0.918835677793191,1.22633319418112,0.139353633005212,0.00870446809176238
"PRF1",0.37537687286178,0.198666123857854,1.40351947547787,2.20791624646422,2.80213018530451,0.127809639851992,0.0353655738463228
"LYAR",0.217193272999086,0.657840391540087,1.48742838931898,1.16913489827319,1.03386542185174,0.254847752308237,0.306337680018612
"C12orf75",0.51635191256534,0.574029513610751,1.21173001540219,1.57550357069128,1.72806743481856,1.31316906927867,0.0258893463654195
"SYNE2",0.333813452729136,0.906043116912517,1.36327808900595,1.39947958874298,1.48562352323732,0.187892660890056,0.045244479040549
"KLRD1",0.305567493325667,0.0831786965759178,1.40567837375883,2.17025273614614,2.67235366771269,0.0923558704373733,0.0398231622180223
"KLRB1",0.273687583465748,1.37890324498189,2.77848547148227,1.90851047737932,2.03361147504192,0.169501561161117,0.0666405342130556
"PRR5",0.139757449766187,0.327885055240613,0.864676410330304,0.880548444344599,0.991404291788473,0.0843035937025897,0.0709611652473824
"LINC01871",0.0470233564444767,0.169920547333428,0.684537619821871,0.704176117707115,0.914312713839744,0.0514299955387637,0.0132822238676367
"PRAM1",0.16047470813675,0.0180954923732923,0.0303186339781716,0.0265440416723065,0.00307153282941635,0.320795936735669,1.0138552283832
"PILRA",0.280704972932092,0.0129586780610591,0.0195957653461975,0.0265440416723065,0.0421659557766755,0.426673808106476,1.08340107606104
"PAXX",0.664006756002071,0.855781131339233,1.44220394336922,1.49438215694962,1.65673274894814,1.00693295701592,0.614670561541923
"FKBP1A",1.09239742729723,0.856889045339622,0.732176107854601,1.01104283646696,0.821351061383421,1.44694022225635,1.75841147958577
"LY96",0.325824260565904,0.176501723357833,0.0597450333909341,0.102193607783567,0.00613366022663245,0.651894377497771,0.939912760706892
"CFP",0.726814867266733,0.127202759909619,0.0303186339781716,0.114263629236829,0.0182892561769138,1.07674190135243,1.60344123495782
"SH2D1A",0.0452550675489913,0.444394073559306,0.780674331664565,0.749682565485041,0.575653617034215,0.0345788568576921,0.0117586325175443
"CAPG",0.98427388902643,0.262355901859326,0.202349313848494,0.205912357250124,0.110554916204406,1.27458116477422,1.42851183657915
"CD69",1.40416286549959,1.70246295138419,1.99021349796637,1.47610851444681,1.3201597133009,1.19129344858793,0.168553633072442
"CLEC4A",0.400503235753864,0.0103803418257418,0.0109339078371344,0.0133600915191788,0.0152641814649167,0.705433392607148,0.905162431697301
"GZMH",0.42258951906067,0.0452626831148797,1.72430888874179,2.39604850929779,2.9061070743429,0.131672463593689,0.0467179333382862
"SELL",1.27316307175137,1.46674387764461,0.843145997381132,1.07730762400374,0.475674055886551,1.30007174643508,1.04327164300882
"FTH1",3.29340026630886,2.87173567132328,2.7742413883097,2.69276937432871,2.60941597442616,3.79736954321753,4.57263002379551
